id	label	type	StartTime	EndTime	Location	LatLng	Description	Year	PublicationVenue
42	(Fan & Stewart, 2016)	Publication	2016-09-30		Department of Geography, University of Maryland	38.983657, -76.94366	Modeling and Reasoning about Geospatial Event Dynamics Using Semantic Web Technologies.	2016	In Workshop on Spatial Data on the Web, 9th International Conference on Geographic Information Science.
43	(Fan & Stewart, 2015)	Publication	2015-07-09		Department of Geography, University of Iowa	41.661879, -91.536511	Detecting Spatial Patterns of Natural Hazards from the Wikipedia Knowledge Base.	2015	ISPRS Annuals of the Photogrammetry, Remote Sensing and Spatial Information Sciences, Volume II-4/W2.
44	(Fan & Stewart, 2014)	Publication	2014-09-25		Department of Geography, University of Iowa	41.661879, -91.536511	An Ontology-based Framework for Modeling Movement on a Smart Campus.	2014	In Workshop on Analysis of Movement Data, 8th International Conference on Geographic Information Science.
45	(Hubbard, Stewart, & Fan, 2014)	Publication	2014-04-25		Department of Geography, University of Iowa	41.661879, -91.536511	Modeling Spatiotemporal Patterns of Building Vulnerability and Content Evacuations Before a Riverine Flood Disaster.	2014	Applied Geography, 52, 172–181.
46	(Stewart, Fan, & White, 2013)	Publication	2013-10-01		Department of Geography, University of Iowa	41.661879, -91.536511	Thinking about Space-Time Connections: Spatiotemporal Scheduling of Individual Activities.	2013	Transactions in GIS, 791–807.
47	(Stewart & Fan, 2012)	Publication	2012-11-01		Department of Geography, University of Iowa	41.661879, -91.536511	Spatiotemporal Event Diffusion: A Formal Model and Framework .	2012	In NCGIA Specialist Meeting on Mapping Ideas.
48	(Fan & Liu, 2011)	Publication	2011-03-25		Institute of Remote Sensing Application, Chinese Academy of Sciences	40.006084, 116.384803	Construction of Expert system of earthquake damage recognition based on ASP.NET.	2011	Microcomputer Information, 27(1),78-87.
49	(Fan et al., 2009)	Publication	2009-10-20		Institute of Remote Sensing Application, Chinese Academy of Sciences	40.006084, 116.384803	Interpretation Feature Database Design for Typical Objects Based on Remote Sensing Images after Wenchuan Earthquake.	2009	In: ACRS:Asian Conference of Remote Sensing.
50	(Ren et al., 2009)	Publication	2009-11-20		Institute of Remote Sensing Application, Chinese Academy of Sciences	40.006084, 116.384803	A Study on Land Cover Classification Based on HJ-1 CCD Image.	2009	In: Geoscience and Remote Sensing Symposium, 2009 IEEE International, IGARSS 2009.
51	(Zhou et al., 2009)	Publication	2009-11-20		Institute of Remote Sensing Application, Chinese Academy of Sciences	40.006084, 116.384803	Variation of Albedo With the Increased Impervious Surface in Beijing-Tianjin Area of China.	2009	In: Geoscience and Remote Sensing Symposium, 2009 IEEE International, IGARSS 2009.
52	<em> <u>Zhu</u></em> et al.	Presentation	2021-04-09		Department of Geography, University of Iowa	41.661879, -91.536511	Geospatial analysis of human mobility during the COVID-19 pandemic spread in Florida	2021	American Association of Geographers Annual Meeting. Virtual
53	<em><u>Fan</u></em> & Tharkur	Presentation	2021-04-07		ORNL	35.9311,-84.309	Context-aware Spatial Semantic Network for Multi-Scale Land Use Mapping	2021	American Association of Geographers Annual Meeting. Virtual
54	<em><u>Fan</u></em> & Stewart	Presentation	2019-04-04		Washington D.C.	38.924479, -77.053794	Understanding Human Movement Dynamics From Different Socially-sensed Data Sources – a Comparative Analysis	2019	American Association of Geographers Annual Meeting. Washington, D.C.
55	<em> <u>Fan</u></em> et al.	Presentation	2018-11-14		Department of Geography, University of Maryland	38.983657, -76.94366	Understanding Human Mobility from Big Mobile Device Data	Nov 2018	Center for Geospatial Information Science Inauguration, College Park, MD
56	<em> <u>Fan</u></em> & Ratcliff	Presentation	2018-04-20		U.S. Government Accountability Office	38.8989614,-77.0175075	Doing Good with Data Science, A Case Study: Detecting Mines via Satellite Imagery.	Apr 2018	In: 2nd Meeting of INTOSAI Working Group on Big Data. Washington,D.C.
57	<em> <u>Fan</u></em> et al.	Presentation	2018-04-13		New Orleans	29.952508,-90.069799	Understanding Spatial Interactions from Estimated VMT using Big GPS Trajectory Data .	Apr 2018	American Association of Geographers Annual Meeting. New Orleans, LA
58	Fan & <em> <u>Stewart</u></em>	Presentation	2018-03-23		University of Colorado, Boulder	40.007581,-105.2681357	Big Data GPS Trajectory Analysis for Travel Activity Modeling.	Mar 2018	Department Colloquium, University of Colorado,Boulder,CO
59	<em> <u>Fan</u></em> et al.	Presentation	2018-04-03		House Office Building	38.9802841,-76.492331	Innovations in Geospatial Science: Understanding Human Mobility and More.	Apr 2018	Maryland Transportation Institute Launch,Annapolis,MD
60	<em> <u>Fan</u></em> et al.	Presentation	2017-11-01		Department of Geography, University of Maryland	38.983657, -76.94366	VMT -- Reconstruct Vehicle Trajectories from Big GPS Waypoints Data .	Nov 2017	Center for Geospatial Information Science Inauguration, College Park, MD
61	<em><u>Fan</u></em> & Stewart	Presentation	2016-09-30		Montreal, Canada	45.497471, -73.567459	Modeling and Reasoning about Geospatial Event Dynamics Using Semantic Web Technologies.	Sep 2016	Workshop on Spatial Data on the Web, 9th International Conference on Geographic Information Science. Montreal, Canada
62	Fan & <em> <u>Stewart</u></em>	Presentation	2016-04-01		San Francisco, CA	37.788292, -122.410708	Integrating semantic web technique and social media data for modeling activities and movements on a campus.	Apr 2016	American Association of Geographers Annual Meeting. San Francisco, CA
63	<em><u>Fan</u></em> & Stewart	Presentation	2015-07-14		Fairfax, VA	38.832908, -77.308451	Detecting Spatiotemporal Dynamics from the Wikipedia Knowledge Base.	Jul 2015	International Symposium on Spatiotemporal Computing. Fairfax, VA
64	<em><u>Fan</u></em> & Stewart	Presentation	2015-04-21		Chicago, IL	41.887228, -87.621724	Semantic Data Modeling for Movement on a Smart Campus.	Apr 2015	American Association of Geographers Annual Meeting. Chicago, Illinois
65	<em><u>Fan</u></em> & Stewart	Presentation	2013-11-10		Iowa City, IA	41.661879, -91.536511	Space-time Scheduling for a Smart Campus.	Nov 2013	Department Colloquium, Iowa City, IA
66	<em><u>Fan</u></em> & Liu	Presentation	2009-10-20		Beijing,China	39.999866, 116.399943	Feature Database Design for Typical Objects Based on Remote Sensing Images after Wenchuan Earthquake.	Oct 2009	Asian Conference of Remote Sensing,Beijing, China
67	Tennessee Science Bowl Moderator	Services	2021-03-09	2021-03-09	ORNL	35.9311,-84.309			
68	Data Scientist Volunteer	Services	2016-12-12	2018-06-30	Department of Geography, University of Maryland	38.983657, -76.94366	Develop algorithms to generate spatial features for deep learning model that is trained to detect mining sites from Landsat8 image		
69	Academic Translation	Services	2015-02-10	2018-06-30	Department of Geography, University of Maryland	38.983657, -76.94366	Help CNKI to translate Chinese academic articles into English		
70	Volunteer Tax Assistant	Services	2011-02-10	2011-03-25	University of Iowa	41.661163, -91.536317	Assist international students to prepare income tax returns		
71	Graduate Senate Rep	Services	2012-08-20	2013-05-16	Department of Geography, University of Iowa	41.661879, -91.536511			
72	Volunteer teacher	Services	2009-11-02	2009-11-09	Beijing,China	39.943869, 116.183237	Teaching English classes for children of migrant workers		
