id	label	type	StartTime	EndTime	Location	LatLng	Description	Year	PublicationVenue
40	"(Fan & Stewart, 2016)"	Publication	9/30/16		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Modeling and Reasoning about Geospatial Event Dynamics Using Semantic Web Technologies.	2016	"In Workshop on Spatial Data on the Web, 9th International Conference on Geographic Information Science."
41	"(Fan & Stewart, 2015)"	Publication	7/9/15		"Department of Geography, University of Iowa"	"41.661879, -91.536511"	Detecting Spatial Patterns of Natural Hazards from the Wikipedia Knowledge Base.	2015	"ISPRS Annuals of the Photogrammetry, Remote Sensing and Spatial Information Sciences, Volume II-4/W2."
42	"(Fan & Stewart, 2014)"	Publication	9/25/14		"Department of Geography, University of Iowa"	"41.661879, -91.536511"	An Ontology-based Framework for Modeling Movement on a Smart Campus.	2014	"In Workshop on Analysis of Movement Data, 8th International Conference on Geographic Information Science."
43	"(Hubbard, Stewart, & Fan, 2014)"	Publication	4/25/14		"Department of Geography, University of Iowa"	"41.661879, -91.536511"	Modeling Spatiotemporal Patterns of Building Vulnerability and Content Evacuations Before a Riverine Flood Disaster.	2014	"Applied Geography, 52, 172–181."
44	"(Stewart, Fan, & White, 2013)"	Publication	10/1/13		"Department of Geography, University of Iowa"	"41.661879, -91.536511"	Thinking about Space-Time Connections: Spatiotemporal Scheduling of Individual Activities.	2013	"Transactions in GIS, 791–807."
45	"(Stewart & Fan, 2012)"	Publication	11/1/12		"Department of Geography, University of Iowa"	"41.661879, -91.536511"	Spatiotemporal Event Diffusion: A Formal Model and Framework .	2012	In NCGIA Specialist Meeting on Mapping Ideas.
46	"(Fan & Liu, 2011)"	Publication	3/25/11		"Institute of Remote Sensing Application, Chinese Academy of Sciences"	"40.006084, 116.384803"	Construction of Expert system of earthquake damage recognition based on ASP.NET.	2011	"Microcomputer Information, 27(1),78-87."
47	"(Fan et al., 2009)"	Publication	10/20/09		"Institute of Remote Sensing Application, Chinese Academy of Sciences"	"40.006084, 116.384803"	Interpretation Feature Database Design for Typical Objects Based on Remote Sensing Images after Wenchuan Earthquake.	2009	In: ACRS:Asian Conference of Remote Sensing.
48	"(Ren et al., 2009)"	Publication	11/20/09		"Institute of Remote Sensing Application, Chinese Academy of Sciences"	"40.006084, 116.384803"	A Study on Land Cover Classification Based on HJ-1 CCD Image.	2009	"In: Geoscience and Remote Sensing Symposium, 2009 IEEE International, IGARSS 2009."
49	"(Zhou et al., 2009)"	Publication	11/20/09		"Institute of Remote Sensing Application, Chinese Academy of Sciences"	"40.006084, 116.384803"	Variation of Albedo With the Increased Impervious Surface in Beijing-Tianjin Area of China.	2009	"In: Geoscience and Remote Sensing Symposium, 2009 IEEE International, IGARSS 2009."
50	<em><u>Fan</u></em> & Stewart	Presentation	4/4/19		Washington D.C.	"38.924479, -77.053794"	Understanding Human Movement Dynamics From Different Socially-sensed Data Sources – a Comparative Analysis	2019	"American Association of Geographers Annual Meeting. Washington, D.C."
51	<em> <u>Fan</u></em> et al.	Presentation	11/14/18		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Understanding Human Mobility from Big Mobile Device Data	Nov-18	"Center for Geospatial Information Science Inauguration, College Park, MD"
52	<em> <u>Fan</u></em> & Ratcliff	Presentation	4/20/18		U.S. Government Accountability Office	"38.8989614,-77.0175075"	"Doing Good with Data Science, A Case Study: Detecting Mines via Satellite Imagery."	Apr-18	"In: 2nd Meeting of INTOSAI Working Group on Big Data. Washington,D.C."
53	<em> <u>Fan</u></em> et al.	Presentation	4/13/18		New Orleans	"29.952508,-90.069799"	Understanding Spatial Interactions from Estimated VMT using Big GPS Trajectory Data .	Apr-18	"American Association of Geographers Annual Meeting. New Orleans, LA"
54	Fan & <em> <u>Stewart</u></em>	Presentation	3/23/18		"University of Colorado, Boulder"	"40.007581,-105.2681357"	Big Data GPS Trajectory Analysis for Travel Activity Modeling.	Mar-18	"Department Colloquium, University of Colorado,Boulder,CO"
55	<em> <u>Fan</u></em> et al.	Presentation	4/3/18		House Office Building	"38.9802841,-76.492331"	Innovations in Geospatial Science: Understanding Human Mobility and More.	Apr-18	"Maryland Transportation Institute Launch,Annapolis,MD"
56	<em> <u>Fan</u></em> et al.	Presentation	11/1/17		"Department of Geography, University of Maryland"	"38.983657, -76.94366"	VMT -- Reconstruct Vehicle Trajectories from Big GPS Waypoints Data .	Nov-17	"Center for Geospatial Information Science Inauguration, College Park, MD"
57	<em><u>Fan</u></em> & Stewart	Presentation	9/30/16		"Montreal, Canada"	"45.497471, -73.567459"	Modeling and Reasoning about Geospatial Event Dynamics Using Semantic Web Technologies.	Sep-16	"Workshop on Spatial Data on the Web, 9th International Conference on Geographic Information Science. Montreal, Canada"
58	Fan & <em> <u>Stewart</u></em>	Presentation	4/1/16		"San Francisco, CA"	"37.788292, -122.410708"	Integrating semantic web technique and social media data for modeling activities and movements on a campus.	Apr-16	"American Association of Geographers Annual Meeting. San Francisco, CA"
59	<em><u>Fan</u></em> & Stewart	Presentation	7/14/15		"Fairfax, VA"	"38.832908, -77.308451"	Detecting Spatiotemporal Dynamics from the Wikipedia Knowledge Base.	Jul-15	"International Symposium on Spatiotemporal Computing. Fairfax, VA"
60	<em><u>Fan</u></em> & Stewart	Presentation	4/21/15		"Chicago, IL"	"41.887228, -87.621724"	Semantic Data Modeling for Movement on a Smart Campus.	Apr-15	"American Association of Geographers Annual Meeting. Chicago, Illinois"
61	<em><u>Fan</u></em> & Stewart	Presentation	11/10/13		"Iowa City, IA"	"41.661879, -91.536511"	Space-time Scheduling for a Smart Campus.	Nov-13	"Department Colloquium, Iowa City, IA"
62	<em><u>Fan</u></em> & Liu	Presentation	10/20/09		"Beijing,China"	"39.999866, 116.399943"	Feature Database Design for Typical Objects Based on Remote Sensing Images after Wenchuan Earthquake.	Oct-09	"Asian Conference of Remote Sensing,Beijing, China"
63	Data Scientist Volunteer	Services	12/12/16	6/30/18	"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Develop algorithms to generate spatial features for deep learning model that is trained to detect mining sites from Landsat8 image		
64	Academic Translation	Services	2/10/15	6/30/18	"Department of Geography, University of Maryland"	"38.983657, -76.94366"	Help CNKI to translate Chinese academic articles into English		
65	Volunteer Tax Assistant	Services	2/10/11	3/25/11	University of Iowa	"41.661163, -91.536317"	Assist international students to prepare income tax returns		
66	Graduate Senate Rep	Services	8/20/12	5/16/13	"Department of Geography, University of Iowa"	"41.661879, -91.536511"			
67	Volunteer teacher	Services	11/2/09	11/9/09	"Beijing,China"	"39.943869, 116.183237"	Teaching English classes for children of migrant workers		
